trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.98}",30,0,-122.07822864101342,"{0: 19, 1: 0, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.6, 'e': 0.9603999999999999}",25,0,-33.66196624675613,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.6, 'e': 0.9411919999999999}",20,0,-159.76943633654875,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
4,False,"{'a': 0.6, 'e': 0.9223681599999999}",25,0,-162.58134866018526,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.6, 'e': 0.9039207967999998}",25,14,-24.202616912765386,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.8858423808639998}",20,0,-127.13873793996626,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.6, 'e': 0.8681255332467198}",30,0,-174.6233621864482,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
8,False,"{'a': 0.6, 'e': 0.8507630225817854}",20,4,-110.31341786330755,"{0: 9, 1: 2, 2: 1, 3: 3, 4: 1}",1
9,False,"{'a': 0.6, 'e': 0.8337477621301497}",25,0,-197.48779298876812,"{0: 14, 1: 3, 2: 2, 3: 3, 4: 3}",0
10,False,"{'a': 0.6, 'e': 0.8170728068875467}",20,0,-44.18019090863858,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.6, 'e': 0.8007313507497957}",20,0,-98.0112900107854,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
12,False,"{'a': 0.6, 'e': 0.7847167237347998}",20,0,-147.7202168674044,"{0: 10, 1: 1, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.6, 'e': 0.7690223892601038}",20,0,-59.79936634619071,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
14,False,"{'a': 0.6, 'e': 0.7536419414749017}",25,0,-141.68261721026616,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.6, 'e': 0.7385691026454037}",25,0,-177.75320117712073,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 3}",0
16,False,"{'a': 0.6, 'e': 0.7237977205924956}",20,0,-87.0815729012072,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.6, 'e': 0.7093217661806457}",35,0,-160.53900180884312,"{0: 20, 1: 4, 2: 7, 3: 3, 4: 1}",0
18,False,"{'a': 0.6, 'e': 0.6951353308570327}",25,0,-106.87975219358397,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
19,False,"{'a': 0.6, 'e': 0.6812326242398921}",25,0,-136.7441054996952,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
20,False,"{'a': 0.6, 'e': 0.6676079717550942}",25,0,-77.49184515888581,"{0: 19, 1: 2, 2: 1, 3: 2, 4: 1}",0
21,False,"{'a': 0.6, 'e': 0.6542558123199923}",20,12,-55.20128860292494,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
22,False,"{'a': 0.6, 'e': 0.6411706960735924}",25,0,-68.70763905217632,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
23,False,"{'a': 0.6, 'e': 0.6283472821521205}",30,4,-24.504596007438508,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 1}",1
