trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.69002420944028,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-147.44234302029173,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,10,-9.57262563217614,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.65920761031344,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-95.4888705954984,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.73863595499179,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,4,-181.30892888923862,"{0: 18, 1: 3, 2: 5, 3: 3, 4: 2}",1
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.98608508060707,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-156.85463933346014,"{0: 10, 1: 9, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.81218253174133,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-150.94504238854222,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.03033678317843,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-33.217170681172774,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-36.775292550589455,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-118.07808375462427,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,19,6.080724088851271,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.56936594349902,"{0: 11, 1: 0, 2: 9, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.40923540375474,"{0: 13, 1: 9, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.96730375452462,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-236.00347238550356,"{0: 12, 1: 2, 2: 6, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-118.92900070997895,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,7,-146.2743859120936,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 1}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-82.27388118018814,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.40572036917341,"{0: 9, 1: 5, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-83.65838710192858,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-106.8257536625816,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-74.13905890083488,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,10,-23.991973352086756,"{0: 10, 1: 3, 2: 2, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.3826929774971,"{0: 11, 1: 3, 2: 7, 3: 2, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,2,-71.96689985416641,"{0: 11, 1: 5, 2: 0, 3: 1, 4: 1}",1
