trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-205.49565744649746,"{0: 17, 1: 7, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.999995500003375}",25,0,-129.23051621349964,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.999982000054}",25,0,-160.41152533698943,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-90.93508984426984,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999280008639958}",20,0,-76.2140890659847,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9998875021093592}",25,0,-165.559603994735,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-59.58177844255646,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9997795081032559}",20,0,-116.2600420844045,"{0: 9, 1: 6, 2: 2, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9997120138237345}",30,0,-184.69707284492426,"{0: 19, 1: 5, 2: 0, 3: 3, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-64.2406251207601,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9995500337489875}",20,0,-81.6495302394352,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.9994555494115813}",25,0,-63.31589111786824,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,0,-59.20371699871137,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.999239596388488}",25,0,-195.84850588729162,"{0: 13, 1: 7, 2: 1, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.9991181296463766}",20,0,-148.12240749895898,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9989876708478425}",20,0,-122.16787900447277,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9988482211670138}",30,0,-217.8560711476401,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9986997818589368}",20,0,-91.94094488382511,"{0: 10, 1: 5, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-39.32445326930024,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9983759397857438}",25,0,-208.2448160747154,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9982005399352042}",20,8,-97.28735842912619,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-115.99912857431416,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.9978227904992117}",20,0,-130.12633249283658,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
24,False,"{'a': 0.5, 'e': 0.9976204443135014}",30,0,-107.20770084561829,"{0: 17, 1: 5, 2: 6, 3: 2, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9974091195505261}",20,0,-62.57073342891234,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.9971888181122075}",20,0,-183.64736617041277,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9969595419812568}",25,0,-129.9052625737825,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.9967212932211577}",25,0,-86.88391536565098,"{0: 14, 1: 4, 2: 6, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.9964740739761475}",35,0,-164.71167844338243,"{0: 22, 1: 2, 2: 9, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9962178864711978}",20,0,-98.01452364942084,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.9959527330119943}",25,0,-81.6696979985865,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.9956786159849162}",25,0,-99.89590778510328,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
