trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-171.24844790879547,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-249.22963439931016,"{0: 11, 1: 3, 2: 4, 3: 4, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-116.35660187516031,"{0: 17, 1: 4, 2: 1, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-88.06583292717059,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-35.738961319161334,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-50.54393379953494,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-95.36634095713119,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,2,-55.885440366212165,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-87.45531131217732,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,9,-4.7697096653236315,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-14.231621348144742,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-82.4255539289254,"{0: 17, 1: 4, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,8,11.678895237376262,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-42.61458644761138,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-161.42844312089716,"{0: 27, 1: 1, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,13,12.844212174252522,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-38.58002208047153,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,8,-15.599365763056843,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,6,-26.26271429779533,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-20.43557072836088,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,6,-6.657379671959293,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,7,-98.3280177818138,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 2}",1
3,True,"{'a': 0, 'e': 0}",25,13,-12.19515638587113,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,-30.752448818620135,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",20,4,19.16709350987923,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,7,-33.4025277829679,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,12,12.832566129358025,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,8,-90.41336285196034,"{0: 12, 1: 2, 2: 0, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,13,2.997412698780483,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,10.560248005338101,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
