trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",30,0,-259.2992375857663,"{0: 12, 1: 6, 2: 6, 3: 3, 4: 3}",0
2,False,"{'a': 0.7, 'e': 0.9999980000006666}",20,0,-164.69821561841414,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.9999920000106667}",25,0,-189.20045600459974,"{0: 13, 1: 1, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.999982000054}",25,0,-66.37798051756332,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.9999680001706663}",25,0,-242.1145096484639,"{0: 9, 1: 6, 2: 6, 3: 0, 4: 4}",0
6,False,"{'a': 0.7, 'e': 0.9999500004166653}",20,0,-97.21835593367392,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.7, 'e': 0.9999280008639958}",20,0,-41.82674968866897,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.9999020016006562}",20,0,-110.64789989314617,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.9998720027306434}",20,0,-115.06959417995925,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.7, 'e': 0.9998380043739528}",20,10,-21.82098703086478,"{0: 4, 1: 6, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.7, 'e': 0.9998000066665778}",25,0,-96.16193140507991,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.9997580097605092}",25,5,-58.001091157411494,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",1
13,False,"{'a': 0.7, 'e': 0.9997120138237345}",30,13,-72.85172901654866,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.9996620190402377}",20,0,-124.54894872481279,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
15,False,"{'a': 0.7, 'e': 0.9996080256099974}",20,0,-163.12037278601355,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.7, 'e': 0.9995500337489875}",25,13,-42.85166697975006,"{0: 6, 1: 1, 2: 5, 3: 0, 4: 0}",1
17,False,"{'a': 0.7, 'e': 0.9994880436891754}",20,0,-114.68517354658943,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.7, 'e': 0.9994220556785212}",20,0,-160.25058585288434,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
19,False,"{'a': 0.7, 'e': 0.9993520699809768}",35,0,-204.6492490797047,"{0: 21, 1: 3, 2: 6, 3: 2, 4: 3}",0
20,False,"{'a': 0.7, 'e': 0.9992780868764849}",25,0,-217.04157012005248,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,0,-67.03499744048911,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,11,-56.65152725760201,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",20,0,-148.1218745191953,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",30,0,-134.19101470149212,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,0,-132.68070260007042,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,12,-12.001593650094849,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,0,-84.03124686654098,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,3,-130.08109415555637,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,3,-126.56172056909125,"{0: 11, 1: 0, 2: 10, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,3,-126.77769136034212,"{0: 7, 1: 1, 2: 7, 3: 1, 4: 1}",1
11,True,"{'a': 0, 'e': 0}",20,0,-118.38131253875332,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
12,True,"{'a': 0, 'e': 0}",20,4,-110.11535162497408,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 2}",1
13,True,"{'a': 0, 'e': 0}",20,0,-115.58010845085856,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,True,"{'a': 0, 'e': 0}",25,0,-107.59258700160977,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
15,True,"{'a': 0, 'e': 0}",20,0,-74.78321612442392,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,True,"{'a': 0, 'e': 0}",25,0,-93.25111369152661,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 0}",0
